from_below,0,103900,"viewed_from_below,low_angle,view_from_below" 
cat,0,103855,"cats,neko" 
eating,0,103830, 
oral,0,103493, 
light_blush,0,103274, 
parody,0,103131, 
horse_tail,0,102883, 
frilled_sleeves,0,102769,ruffled_sleeves 
grass,0,102719, 
white_apron,0,101357, 
garter_straps,0,101281,garter_strap 
own_hands_together,0,101195,hands_together 
red_necktie,0,101145, 
pink_bow,0,100394, 
helmet,0,100324, 
wolf_ears,0,100060,"coyote_ears,ookamimimi" 
leg_up,0,99592,one_leg_raised 
crying,0,99104,cry 
wariza,0,99026,"w_legs,w-legs,w_sitting,w-sitting" 
elf,0,98696,"elf_ears,elven_ears" 
white_pupils,0,98643, 
gem,0,98613,"gemstones,gemstone,precious_stones,precious_stone,gems,jewels,jewel" 
obi,0,98464, 
shirt_lift,0,98438,"tank_top_lift,shirt_up,top_lift,lift_shirt,/shl,shirtlift" 
final_fantasy,3,98385,"/ff,finalfantasy" 
6+girls,0,98129,"6+girl,9girls,8girls,7girls,6girl,6girls" 
x_hair_ornament,0,97981, 
yaoi,0,97831,"gay,shounen-ai,boy_love,boys_love,boy's_love,shonen-ai" 
frilled_skirt,0,97561,"ruffled_skirt,frilly_skirt" 
bound,0,97455, 
hololive_english,3,97438, 
red_flower,0,97419, 
blue_ribbon,0,97165, 
magical_girl,0,96103,"magical_girls,mahou_shoujo,magic_girl" 
trembling,0,95955,"shivering,shiver,tremble" 
clothes_pull,0,95942, 
red_bowtie,0,95684, 
scrunchie,0,95614,scrunchy 
light_smile,0,95227,"soft_smile,slight_smile,faint_smile" 
red_shirt,0,95108,red_blouse 
skeb_commission,5,95011, 
headgear,0,94882, 
crossed_legs,0,94860,"crossed_legs_(standing),crossed_legs_(lying),crossed_legs_(sitting),legs_crossed" 
fire,0,94829,"flame,flames" 
feathers,0,94487,feather 
moon,0,94357, 
ear_piercing,0,93911,"pierced_ear,pierced_ears" 
sunlight,0,93828,sunshine 
holding_cup,0,93820,"holding_goblet,holding_drinking_glass,holding_sakazuki,holding_teacup,holding_mug,holding_glass" 
wavy_mouth,0,93670, 
cloudy_sky,0,93443, 
3boys,0,93367,3boy 
suit,0,93249,three-piece_suit 
eyepatch,0,93003,eye_patch 
spiked_hair,0,92981,"spikey_hair,spiky_hair" 
cross,0,92729, 
mouth_hold,0,92729, 
denim,0,92464, 
black_leotard,0,92027, 
eyes_visible_through_hair,0,91706,eye_through_hair 
plant,0,91579,plants 
mob_cap,0,91548,"pillow_hat,pillowhat" 
clenched_teeth,0,90928,"gritting_teeth,gritted_teeth" 
?,0,90877,question_mark 
scar_on_face,0,90804,facial_scar 
scan,5,90760, 
sleeping,0,90341,"asleep,sleep" 
hair_tubes,0,90214,hair_tube 
